source,target,interaction,effect_size,pvalue,qvalue
PROt4_2_r,"Transport, Extracellular",in_pathway,2.2876777259290457,1.6496479233639e-05,0.0007317366860064157
ARTFR31,R Group Synthesis,in_pathway,2.1897788657946813,0.00014244292912436528,0.0030678748781351735
EX_glc__D_e,Extracellular exchange,in_pathway,2.1327712017872775,3.373549273326354e-05,0.0014788052461663524
OBDHc,"Glycine, Serine, and Threonine Metabolism",in_pathway,2.1149715350838694,0.0003034679692982066,0.005858661417643098
THRD_L,"Glycine, Serine, and Threonine Metabolism",in_pathway,2.1149715350838694,0.0003034679692982066,0.005858661417643098
2MCITt,"Transport, Extracellular",in_pathway,2.1149715350838694,0.0003034679692982066,0.005858661417643098
EX_2mcit_e,Extracellular exchange,in_pathway,2.1149715350838694,0.0003034679692982066,0.005858661417643098
MCITS,Propanoate Metabolism,in_pathway,2.1149715350838694,0.0003034679692982066,0.005858661417643098
UREAt5,"Transport, Extracellular",in_pathway,-2.1109340768853366,0.00030816198701941677,0.00591861630739354
ASNTHRNaEx,"Transport, Extracellular",in_pathway,2.0662240091584967,0.0003655970107850097,0.006950073786657888
HEX1,Glycolysis/Gluconeogenesis,in_pathway,-2.058245713569412,4.778494008976035e-05,0.00207031031133078
6DHFtl,"Transport, Lysosomal",in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
GGH_5DHFl,Folate Metabolism,in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
6DHFtm,"Transport, Mitochondrial",in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
FPGS4m,Folate Metabolism,in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
GGH_6DHFl,Folate Metabolism,in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
DHFtm,"Transport, Mitochondrial",in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
DHFtl,"Transport, Lysosomal",in_pathway,2.0459896235334822,0.00028825348524603837,0.005712938755461893
FPGS5m,Folate Metabolism,in_pathway,-2.0459896235334822,0.00028825348524603837,0.005712938755461893
GLUt7l,"Transport, Lysosomal",in_pathway,-2.0459896235334507,0.0002882534852460644,0.005712938755461893
H2Otly,"Transport, Lysosomal",in_pathway,-2.0459896235334507,0.0002882534852460644,0.005712938755461893
SO4t4_3,"Transport, Extracellular",in_pathway,-2.017398402951981,0.00044147042673727146,0.008349841675244028
ALAt2r,"Transport, Extracellular",in_pathway,2.0161115555307534,0.0001366475453440206,0.0030127145204249745
HIStN1,"Transport, Extracellular",in_pathway,1.9991008734083184,0.000474044851981356,0.008920662214558244
