id,label,subsystem,effect_size,qvalue,type
GGH_6DHFl,"Gamma-glutamyl hydrolase (6DHF), lysosomal",Folate Metabolism,-2.0459896235334822,0.005712938755461893,reaction
DHFtm,Dihydrofolate reversible mitochondrial transport,"Transport, Mitochondrial",-2.0459896235334822,0.005712938755461893,reaction
DHFtl,Dihydrofolate reversible lysosomal transport,"Transport, Lysosomal",2.0459896235334822,0.005712938755461893,reaction
FPGS5m,"Folylpolyglutamate  synthetase (DHF), mitochondrial",Folate Metabolism,-2.0459896235334822,0.005712938755461893,reaction
GLUt7l,"Glutamate transport, lysosomal","Transport, Lysosomal",-2.0459896235334507,0.005712938755461893,reaction
H2Otly,"H2O transport, lysosomal","Transport, Lysosomal",-2.0459896235334507,0.005712938755461893,reaction
SO4t4_3,Sulfate transport via sodium symport,"Transport, Extracellular",-2.017398402951981,0.008349841675244028,reaction
ALAt2r,L alanine reversible transport via proton symport,"Transport, Extracellular",2.0161115555307534,0.0030127145204249745,reaction
HIStN1,"Histidine transport (Na, H coupled)","Transport, Extracellular",1.9991008734083184,0.008920662214558244,reaction
RNDR2,Ribonucleoside-diphosphate reductase (GDP),Nucleotides,-1.9649962265347438,0.01004201817213121,reaction
TRDR,Thioredoxin reductase (NADPH),Nucleotides,-1.9649962265347438,0.01004201817213121,reaction
GK1,Guanylate kinase (GMP:ATP),Nucleotides,-1.9649962265347438,0.01004201817213121,reaction
THRCYSNaEx,L-cysteine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",-1.9448278458452442,0.010397689516345779,reaction
DADNt4,Deoxyadenosine transport via diffusion,"Transport, Extracellular",1.9442509110805763,0.010397689516345779,reaction
GLCt4,Glucose transport via sodium symport,"Transport, Extracellular",1.935157658746589,0.010397689516345779,reaction
HMGCOAS,Hydroxymethylglutaryl CoA synthase,Cholesterol Metabolism,1.926136516009311,0.010397689516345779,reaction
MANt4,D-mannose transport via sodium cotransport,"Transport, Extracellular",1.9261365160091375,0.010397689516345779,reaction
ASCBt4,L-ascorbate transport via proton symport,"Transport, Extracellular",1.9261365160091326,0.010397689516345779,reaction
MAGt,Monoacylglycerol 2 Transport,"Transport, Extracellular",-1.926136516009131,0.010397689516345779,reaction
DAGt,Diacylglycerol Transport,"Transport, Extracellular",1.926136516009131,0.010397689516345779,reaction
RTOTALt,RTOTAL transport,"Transport, Extracellular",-1.926136516009131,0.010397689516345779,reaction
LPS2e,"Lipase, extracellular",Fatty Acid Metabolism,-1.926136516009131,0.010397689516345779,reaction
DM_hretn_n,4 hydroxy retinoic acid demand,Intracellular demand,-1.926136516009094,0.010397689516345779,reaction
RAHY,Retinoic acid hydroxylation (P450),Vitamin A Metabolism,-1.926136516009094,0.010397689516345779,reaction
HRETNtn,"4-hydroxyretinoic acid transport, Nuclear","Transport, Nuclear",-1.926136516009094,0.010397689516345779,reaction
CRNtim,L carnitine transport out of mitochondria via diffusion,"Transport, Mitochondrial",-1.9261365160090778,0.010397689516345779,reaction
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,"Transport, Mitochondrial",-1.926136516008929,0.010397689516345779,reaction
CSNATm,Carnitine O aceyltransferase  mitochondrial,Fatty Acid Metabolism,-1.926136516008929,0.010397689516345779,reaction
ARACHCPT2,Carnitine transferase,Carnitine shuttle,-1.9261365160088082,0.010397689516345779,reaction
ARACHCPT1,Carnitine transferase,Carnitine shuttle,-1.9261365160088082,0.010397689516345779,reaction
FAOXC80,Beta oxidation of med/long chain fatty acid,Fatty acid oxidation,-1.9261365160088082,0.010397689516345779,reaction
FAOXC200180m,Beta oxidation of long chain fatty acid,Fatty acid oxidation,-1.9261365160088082,0.010397689516345779,reaction
FAOXC180,Beta oxidation of long chain fatty acid,Fatty acid oxidation,-1.9261365160088082,0.010397689516345779,reaction
FAOXC16080m,Beta oxidation of long chain fatty acid,Fatty acid oxidation,-1.9261365160088082,0.010397689516345779,reaction
ARACHCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,-1.9261365160088082,0.010397689516345779,reaction
NKCCt,Na+-K+-Cl- cotransport,"Transport, Extracellular",-1.9255877309310072,0.010397689516345779,reaction
CYSt4,L-cysteine reversible transport via sodium symport,"Transport, Extracellular",-1.9253258428610358,0.010397689516345779,reaction
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,1.9217509876767582,0.005198479237785009,reaction
EX_srtn_e,Serotonin exchange,Extracellular exchange,1.9217509876767582,0.005198479237785009,reaction
TRPHYDRO2,"L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating)",Tryptophan metabolism,1.9217509876767582,0.005198479237785009,reaction
EX_dad_2_e,Deoxyadenosine exchange,Extracellular exchange,-1.921119155957256,0.01052607099884571,reaction
CK,ATP Creatine kinase,Urea cycle/amino group metabolism,-1.8863725400146523,0.010566411959456018,reaction
CREATtmdiffir,Creatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,-1.8863725400146523,0.010566411959456018,reaction
CKc,ATP Creatine kinase (c),Urea cycle/amino group metabolism,1.8863725400146523,0.010566411959456018,reaction
PCREATtmdiffir,Phosphocreatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,-1.8863725400146523,0.010566411959456018,reaction
CYSALANaEx,L-alanine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",-1.8818232841659803,0.010397689516345779,reaction
TYR3MO2,Tyrosine 3-monooxygenase,Tyrosine metabolism,-1.866027391871378,0.012507938489755272,reaction
