column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
SCD_GSE188344_NCD_4_Flux,SCD,GSE188344,SCD_GSE188344_NCD_4,-14.426621978695556,-1.3809180673251447,-0.4773737163756711,-2.09002143343186,-4.182034482701262
SCD_GSE246221_Batch9_SCD_only32w_1_Flux,SCD,GSE246221,SCD_GSE246221_Batch9_SCD_only32w_1,-22.774101056202188,6.833901357746096,1.4998986040816076,-3.6896809634441614,-1.0138322083341862
SCD_GSE246221_Batch9_SCD_only32w_2_Flux,SCD,GSE246221,SCD_GSE246221_Batch9_SCD_only32w_2,-15.225276211099853,2.69421598488504,1.5125498638661092,-0.41099424663465695,-1.5641188982918384
SCD_GSE246221_Batch9_SCD_only32w_3_Flux,SCD,GSE246221,SCD_GSE246221_Batch9_SCD_only32w_3,-14.495614247240521,2.6996291314072396,1.6091503951243455,-2.1875594175699904,-4.5782006655656025
SCD_GSE246221_Batch9_SCD_only32w_4_Flux,SCD,GSE246221,SCD_GSE246221_Batch9_SCD_only32w_4,-17.115242102353868,2.234818393696223,0.36777953746070774,-1.4329731181852647,-1.6213575191539533
SCD_GSE248297_LFD_1_Flux,SCD,GSE248297,SCD_GSE248297_LFD_1,-8.972124282543648,-0.33551438336911815,-0.7844587916921142,0.41516640538813027,-2.300876743889115
SCD_GSE248297_LFD_2_Flux,SCD,GSE248297,SCD_GSE248297_LFD_2,-14.788149603837551,-12.299588989225326,-2.76621731777261,8.311533011250509,0.39996265601623326
SCD_GSE248297_LFD_3_Flux,SCD,GSE248297,SCD_GSE248297_LFD_3,-15.563390049692142,-15.813617525647796,-6.627832796170771,15.144463600614348,0.5683506587667267
SCD_GSE248297_LFD_4_Flux,SCD,GSE248297,SCD_GSE248297_LFD_4,-3.0842968022949386,-8.843356641189638,-2.0263874990507658,-7.029746196385591,-1.6800359259518163
SCD_GSE248297_LFD_5_Flux,SCD,GSE248297,SCD_GSE248297_LFD_5,-11.980144795151404,-19.694816246064182,-7.66800633215386,18.78692053937764,1.9419480317540334
HFD_GSE101657_HFD_0_Flux,HFD,GSE101657,HFD_GSE101657_HFD_0,8.125960094300336,-1.116620154769172,-1.7936205827641016,0.43857800206115405,2.625581618586369
HFD_GSE101657_HFD_1_Flux,HFD,GSE101657,HFD_GSE101657_HFD_1,7.632767411354579,-5.394018555216927,2.541982679959079,-1.9941128655979903,8.659898996380413
HFD_GSE101657_HFD_2_Flux,HFD,GSE101657,HFD_GSE101657_HFD_2,7.762295816303358,-5.445970850505915,5.532173487846492,-4.833753118639786,5.9638410369254204
HFD_GSE101657_HFD_3_Flux,HFD,GSE101657,HFD_GSE101657_HFD_3,10.376331830724224,-2.7856864468185156,0.7505809839010944,-3.7384173784061265,17.591596838376763
HFD_GSE101657_HFD_4_Flux,HFD,GSE101657,HFD_GSE101657_HFD_4,8.054564567705688,-2.5549035448049584,0.276601291392061,-2.581857699646229,8.658467683008846
HFD_GSE101657_HFD_5_Flux,HFD,GSE101657,HFD_GSE101657_HFD_5,2.6372939607953136,-6.31718581496866,2.29094913616958,6.610398447761367,8.610781627118708
HFD_GSE159090_GSM4819134_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819134_HFD_Male,7.412709169981997,-0.7115690059593514,2.799274456310177,-1.6495311945449445,-2.167377149713428
HFD_GSE159090_GSM4819140_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819140_HFD_Male,8.394328199906342,5.37990658451753,0.9903208763505111,2.0827360853977375,0.09576744739820355
