reaction_id,flux_scd_baseline,flux_hfd_no_microbiome,flux_hfd_with_microbiome,delta_diet,delta_microbiome,delta_total,abs_diet_contribution,abs_microbiome_contribution,variance_explained_diet,variance_explained_microbiome,effect_type,interaction,opposing_effects,cohens_d_diet,cohens_d_microbiome,diet_effect_size,microbiome_effect_size,dominant_driver,pct_diet_contribution_legacy,pct_microbiome_contribution_legacy
G2M8MASNterg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G1PTT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G1M8MASNterg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G1M7MASNCterg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G1M7MASNBterg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G1M6MASNB1terg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G16MT_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G16MT_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14Tg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T9g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T8g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T7g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T6g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T5g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
GAL3ST12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
GAL3ST11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
GACPAILter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
GACMTRc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
GABAVESSEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G6Pter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G6PPer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G6PDH2er,0.0,0.1144376961404391,0.1144376961404391,0.1144376961404391,0.0,0.1144376961404391,0.1144376961404391,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,0.0,0.0,Small,Small,Diet,100.0,0.0
