ReactionID,ReactionName,Subsystem,WD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,WD_n,SCD_n,q_value,Significant,Direction
KHK,Ketohexokinase,Fructose and Mannose Metabolism,0.040902859238180704,0.05089349233437439,-0.009990633096193684,-0.3152794968018745,-0.7320082184821223,0.46890248303931126,-0.13750318997253094,12,37,1.0,False,Down
TRIOK,Triokinase,Fructose and Mannose Metabolism,0.040902859238180704,0.05089349233437439,-0.009990633096193684,-0.3152794968018745,-0.7320082184821223,0.46890248303931126,-0.13750318997253094,12,37,1.0,False,Down
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,Fructose and Mannose Metabolism,0.040902859238180704,0.05089349233437439,-0.009990633096193684,-0.3152794968018745,-0.7320082184821223,0.46890248303931126,-0.13750318997253094,12,37,1.0,False,Down
THRCYSNaEx,L-cysteine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",0.0060604448235082,0.01207868794090532,-0.00601824311739712,-0.9949681437919452,-0.7235167320515733,0.4740377681379775,-0.13590811707262543,12,37,1.0,False,Down
CYSSERNaEx,L-serine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",0.0006230052397105,0.008882848901679036,-0.008259843661968535,-3.8337060336756874,-0.7175447109433691,0.4776686022473363,-0.13478631005976957,12,37,1.0,False,Down
FE3R2e,Fe(III) reduction (ascorbate),Heme Biosynthesis,0.02310394600053098,0.01893368168498985,0.004170264315541131,0.28718430133997874,0.41898684944178916,0.6795983437565101,0.13225694001267782,12,37,1.0,False,Up
EX_fe2_e,Fe2+ exchange,Extracellular exchange,0.046207892001061984,0.037867363369979756,0.008340528631082228,0.2871843020276582,0.4189868494417871,0.6795983437565116,0.13225694001267724,12,37,1.0,False,Up
EX_fe3_e,Fe3+ exchange,Extracellular exchange,-0.046207892001061984,-0.037867363369979756,-0.008340528631082228,0.28718430340301976,-0.4189868494417871,0.6795983437565116,-0.13225694001267724,12,37,1.0,False,Down
DCMPDA,DCMP deaminase,Pyrimidine Catabolism,-0.0016512615132656505,-0.001829730656429303,0.00017846914316365248,-0.14806268169654793,0.6716677370538928,0.5055230993928103,0.13090492832334524,12,37,1.0,False,Up
ALAGLYexR,L-alanine/glycine reversible exchange,"Transport, Extracellular",0.18035864012022818,0.15590558643001903,0.024453053690209142,0.21019591347263794,0.3940552422248846,0.697907416528277,0.12925896046557556,12,37,1.0,False,Up
