ReactionID,ReactionName,Subsystem,KD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
SERPT,Serine C palmitoyltransferase,Sphingolipid Metabolism,0.0004922627330643,0.0005788040747619405,-8.654134169764054e-05,-0.23364651067690567,-4.784193898429104,0.00015422783835395112,-1.6428243525685993,12,37,0.006246227453417287,True,Down,88.0,0.023617820719269995,0.023617820719269995,0.00015422783835395112
DSAT,Dihydrosphingosine N-acyltransferase,Sphingolipid Metabolism,0.0004922627330643,0.0005788040747619405,-8.654134169764054e-05,-0.23364651067690567,-4.784193898429104,0.00015422783835395112,-1.6428243525685993,12,37,0.006246227453417287,True,Down,88.0,0.023617820719269995,0.023617820719269995,0.00015422783835395112
DGK1,Deoxyguanylate kinase (dGMP:ATP),Nucleotides,-0.0006091751321670917,-0.0007162700425179351,0.00010709491035084339,-0.2336465899065218,4.784193898429142,0.0001542278383538786,1.642824352568454,12,37,0.006246227453417287,True,Up,84.0,0.02254428341384863,0.02254428341384863,0.0001542278383538786
CLS_hs,Cardiolipin synthase (homo sapiens),Glycerophospholipid Metabolism,0.00018459852489907498,0.0002170515280356459,-3.2453003136570914e-05,-0.23364643764383444,-4.784193898423061,0.0001542278383559824,-1.6428243525665585,12,37,0.006246227453417287,True,Down,92.0,0.024691358024691357,0.024691358024691357,0.0001542278383559824
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,0.8503466890713125,1.0650220227063287,-0.21467533363501623,-0.3247602053257926,-5.181682870420889,3.927549960648482e-05,-1.6131274227639176,12,37,0.006246227453417287,True,Down,20.0,0.005367686527106817,0.005367686527106817,3.927549960648482e-05
PROD2,Proline dehydrogenase,Arginine and Proline Metabolism,0.0006448986260972334,0.0009174492159141135,-0.0002725505898168801,-0.5085558393853878,-7.553736186555507,1.321905470687526e-09,-1.5484413530454801,12,37,2.4627098918908607e-06,True,Down,2.0,0.0005367686527106817,0.0005367686527106817,1.321905470687526e-09
O2ter,O2  transport  endoplasmic reticulum,"Transport, Endoplasmic Reticular",0.009966518700539032,0.011641149848507414,-0.0016746311479683817,-0.22407199950387657,-4.518571786965714,0.00025276842954043236,-1.515578434095642,12,37,0.009143836587064573,True,Down,103.0,0.02764358561460011,0.02764358561460011,0.00025276842954043236
OCOAT1m,3-oxoacid CoA-transferase,"Valine, Leucine, and Isoleucine Metabolism",-0.7921992196673702,-1.0012972364887482,0.20909801682137807,-0.33793511856476266,5.754989455599004,2.3660966713243645e-06,1.4991738705191744,12,37,0.0017632152394709162,True,Up,5.0,0.0013419216317767043,0.0013419216317767043,2.3660966713243645e-06
RTOT4,R total flux,R Group Synthesis,0.12573672539099714,0.44320248778474197,-0.3174657623937448,-1.8175598826587882,-4.761812769896313,0.00010833302439885079,-1.4898275057486188,12,37,0.006246227453417287,True,Down,28.0,0.007514761137949544,0.007514761137949544,0.00010833302439885079
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),Cholesterol Metabolism,0.0009875102202552752,0.001259526079421754,-0.00027201585916647886,-0.35101337833489893,-2.7079843761017957,0.019488813164785672,-1.4445040177502333,12,37,0.31299705970685954,False,Down,232.0,0.062265163714439076,0.062265163714439076,0.019488813164785672
GALt4,Galactose transport via sodium symport,"Transport, Extracellular",0.007302189943707208,0.018902764175745667,-0.01160057423203846,-1.3721961033293273,-3.996750994157362,0.0009679328419355353,-1.433550867610285,12,37,0.02870088549653814,True,Down,121.0,0.03247450348899624,0.03247450348899624,0.0009679328419355353
NACASPAH,N-Acetyl-L-aspartate amidohydrolase,Alanine and Aspartate Metabolism,0.00021018048266250003,0.000543322515636411,-0.00033314203297391096,-1.3701797065777515,-3.9895727996392307,0.0009859670809324258,-1.4327993807239956,12,37,0.02870088549653814,True,Down,122.0,0.03274288781535158,0.03274288781535158,0.0009859670809324258
NACASPtm,N-acetyl-L-aspartate transport (mitochondria to cytosol),"Transport, Mitochondrial",0.00021018048266250003,0.000543322515636411,-0.00033314203297391096,-1.3701797065777515,-3.9895727996392307,0.0009859670809324258,-1.4327993807239956,12,37,0.02870088549653814,True,Down,122.0,0.03274288781535158,0.03274288781535158,0.0009859670809324258
ASPNATm,"Aspartate N-acetyltransferase, mitochondrial",Alanine and Aspartate Metabolism,0.00021018048266250003,0.000543322515636411,-0.00033314203297391096,-1.3701797065777515,-3.9895727996392307,0.0009859670809324258,-1.4327993807239956,12,37,0.02870088549653814,True,Down,122.0,0.03274288781535158,0.03274288781535158,0.0009859670809324258
ORETNF2,13-cis-4-oxo-retinoic acid formation (oxidation),Vitamin A Metabolism,0.0009611925337620417,0.0024847099922836293,-0.0015235174585215877,-1.3701800354219298,-3.989572799639032,0.0009859670809328955,-1.4327993807239552,12,37,0.02870088549653814,True,Down,125.0,0.03354804079441761,0.03354804079441761,0.0009859670809328955
ALACYSNaEx,L-alanine/L-cysteine Na-dependent exchange (Ala-L in),"Transport, Extracellular",0.0019341352479119165,0.00499979453450936,-0.003065659286597443,-1.3701800817171452,-3.9895727996389696,0.0009859670809330477,-1.4327993807239432,12,37,0.02870088549653814,True,Down,126.0,0.033816425120772944,0.033816425120772944,0.0009859670809330477
RAI4,13-cis-4-oxo-retinoic acid isomerase,Vitamin A Metabolism,-0.001922385067524125,-0.0049694199845672846,0.00304703491704316,-1.3701801734689538,3.989572799638941,0.0009859670809331134,1.4327993807239379,12,37,0.02870088549653814,True,Up,127.0,0.034084809447128286,0.034084809447128286,0.0009859670809331134
LPS2,Lipase,Triacylglycerol Synthesis,0.01592834308071721,0.04117521913978694,-0.02524687605906973,-1.3701801218996512,-3.9895727996389296,0.0009859670809331405,-1.4327993807239354,12,37,0.02870088549653814,True,Down,128.0,0.03435319377348363,0.03435319377348363,0.0009859670809331405
ADPT,Adenine phosphoribosyltransferase,Salvage Pathway,-0.00027792488126745,0.00024895086730448377,-0.0005268757485719338,,-4.326654592424628,0.00033524929330554134,-1.3904792405217694,12,37,0.01145998960418759,True,Down,109.0,0.029253891572732154,0.029253891572732154,0.00033524929330554134
PGM,Phosphoglycerate mutase,Glycolysis/Gluconeogenesis,-0.8233245559297008,-0.9563615702855505,0.1330370143558497,-0.21609490347508184,4.17025019652052,0.0005238035737101742,1.3754917524101278,12,37,0.016972979135632726,True,Up,114.0,0.030595813204508857,0.030595813204508857,0.0005238035737101742
