ReactionID,ReactionName,Subsystem,KD_mean,WD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,WD_n,q_value,Significant,Direction
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",0.02700432166670115,0.18496583152957605,-0.15796150986287488,-2.7759965696507876,-6.140494011278284,1.3938531139973313e-05,-2.5068461827079482,12,12,0.0006257224943077177,True,Down
PEPCKm,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,0.02700432166670115,0.18496583152957605,-0.15796150986287488,-2.7759965696507876,-6.140494011278284,1.3938531139973313e-05,-2.5068461827079482,12,12,0.0006257224943077177,True,Down
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),Nucleotides,0.011111744044344042,0.03528501342685,-0.024173269382505955,-1.6669702773069868,-6.0599104463874,7.458060644858516e-05,-2.4739480801017613,12,12,0.002346455427504537,True,Down
NAHCO3_HCLt,Bicarbonate transport (HCl/NaHCO3 exchange),"Transport, Extracellular",0.025528200616907623,0.07935366044227642,-0.05382545982536879,-1.6362049183075964,-5.91016858638998,0.00010160903758216639,-2.412816221746935,12,12,0.002346455427504537,True,Down
ICDHxm,Isocitrate dehydrogenase  NAD ,Citric Acid Cycle,4.027943496681244e-07,1.2486624840174314e-06,-8.458681343493069e-07,-1.6320256229935306,-5.8864250614264,0.00010516856044196869,-2.4031229682709676,12,12,0.002346455427504537,True,Down
EX_glyc__S_e,(S)-Glycerate exchange,Extracellular exchange,5.5521754095166674e-05,0.00017211743769510003,-0.00011659568359993335,-1.63226645527416,-5.886425061108783,0.00010516856049046389,-2.403122968141301,12,12,0.002346455427504537,True,Down
HPYRR2x,Hydroxypyruvate reductase (NADH),Glyoxylate and Dicarboxylate Metabolism,5.5521754095166674e-05,0.00017211743769510003,-0.00011659568359993335,-1.63226645527416,-5.886425061108783,0.00010516856049046389,-2.403122968141301,12,12,0.002346455427504537,True,Down
GLYC_St,L-glycerate export,"Transport, Extracellular",5.5521754095166674e-05,0.00017211743769510003,-0.00011659568359993335,-1.63226645527416,-5.886425061108783,0.00010516856049046389,-2.403122968141301,12,12,0.002346455427504537,True,Down
EX_dgsn_e,Deoxyguanosine exchange,Extracellular exchange,6.088964698549999e-05,0.0001887579056551,-0.0001278682586696,-1.6322666104512034,-5.886425061106878,0.00010516856049075462,-2.403122968140523,12,12,0.002346455427504537,True,Down
DGSNt,Deoyguanosine transport via diffusion,"Transport, Extracellular",-6.088964698549999e-05,-0.0001887579056551,0.0001278682586696,-1.6322698205520734,5.886425061106878,0.00010516856049075462,2.403122968140523,12,12,0.002346455427504537,True,Up
