ReactionID,ReactionName,Subsystem,HFD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
CSNATr_copy2,Carnitine O acetyltransferase,Carnitine shuttle,-0.8795989066201829,-0.9298246425975373,0.05022573597735436,-0.08011285041240057,2.412528170006627,0.019034425403168784,0.5608884864457643,38,37,0.39843971377644316,False,Up,178.0,0.04777241009125067,0.04777241009125067,0.019034425403168784
PHEt4,L-phenylalanine transport in via sodium symport,"Transport, Extracellular",0.10464132208470474,0.0008243678756189182,0.10381695420908582,6.987948498436871,2.4110391719367956,0.018691595402958183,0.5542511840969894,38,37,0.393473923567357,False,Up,176.0,0.04723564143853999,0.04723564143853999,0.018691595402958183
EX_phe__L_e,L-Phenylalanine exchange,Extracellular exchange,-0.10464132208470474,-0.0008243678756189182,-0.10381695420908582,6.987948845691897,-2.4110391719367956,0.018691595402958183,-0.5542511840969894,38,37,0.393473923567357,False,Down,176.0,0.04723564143853999,0.04723564143853999,0.018691595402958183
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,Propanoate Metabolism,-0.4397658895753256,-0.46467324524273107,0.024907355667405484,-0.07948087443386156,2.380314380766245,0.020632670869655787,0.5534485312575421,38,37,0.4270962870018748,False,Up,180.0,0.04830917874396135,0.04830917874396135,0.020632670869655787
ARTFR207,R group artificial flux,R Group Synthesis,0.001371394221019329,-0.00011807462142583819,0.0014894688424451673,,2.4185043020588766,0.0204073958477733,0.5513842100502575,38,37,0.424793055468175,False,Up,179.0,0.04804079441760601,0.04804079441760601,0.0204073958477733
thr_mt,Transport reaction,,0.6725442760442648,0.8417200264355812,-0.16917575039131638,-0.32371119402533227,-2.3530258057721776,0.021478986758703755,-0.5450397200539389,38,37,0.42736988498989764,False,Down,186.0,0.0499194847020934,0.0499194847020934,0.021478986758703755
R01465m,"L-threonine 3-dehydrogenase, mitochondrial",,0.6725442760442648,0.8417200264355812,-0.16917575039131638,-0.32371119402533227,-2.3530258057721776,0.021478986758703755,-0.5450397200539389,38,37,0.42736988498989764,False,Down,186.0,0.0499194847020934,0.0499194847020934,0.021478986758703755
ILETA,Isoleucine transaminase,"Valine, Leucine, and Isoleucine Metabolism",0.047959870149656254,-0.08595106995595168,0.13391094010560795,,2.3807949408849027,0.021122753337870614,0.54470853704526,38,37,0.42736988498989764,False,Up,181.0,0.048577563070316694,0.048577563070316694,0.021122753337870614
ILETAm,Isoleucine transaminase  mitochondrial,"Valine, Leucine, and Isoleucine Metabolism",-0.047959870149656254,0.08595106995595168,-0.13391094010560795,,-2.3807949408849027,0.021122753337870614,-0.54470853704526,38,37,0.42736988498989764,False,Down,181.0,0.048577563070316694,0.048577563070316694,0.021122753337870614
ILEtmi,Isoleucine transport from mitochondria to cytosol,"Transport, Mitochondrial",0.047959870149656254,-0.08595106995595168,0.13391094010560795,,2.3807949408849027,0.021122753337870614,0.54470853704526,38,37,0.42736988498989764,False,Up,181.0,0.048577563070316694,0.048577563070316694,0.021122753337870614
