strain,cell_type,cell_abundance,n_significant,n_total,response_rate,mean_flux_change,contribution_score,contribution_percent
DBA2J,Transitioning Mo,0.011498171449823343,39,3726,0.010466988727858293,0.26051297869870027,3.13530576664765e-05,1.6713193450596309
DBA2J,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.10753314741000654,2.9802063511263577e-05,1.5886413950090545
DBA2J,Timd4+ resKC,0.03898840885142255,25,3726,0.0067096081588835215,0.11133453409193532,2.912477411741155e-05,1.5525375202868474
DBA2J,"Ly6c2-, Spn+ Mo",0.015682142193020516,16,3726,0.0042941492216854536,0.3893490259263568,2.621933134639252e-05,1.3976587597900734
DBA2J,"Trem2+, Spp1+ MdM",0.014380462406248063,32,3726,0.008588298443370907,0.1477702971966462,1.8250178882202677e-05,0.9728517499343445
DBA2J,B cells,0.040476042893448215,14,3726,0.003757380568974772,0.11169420575712738,1.6986890092445424e-05,0.9055103437092099
DBA2J,MCs,0.007221223578999566,42,3726,0.011272141706924315,0.20572178819551562,1.67454769620288e-05,0.8926414733327133
DBA2J,"Cd207-, Trem2+ Mo-KC",0.02026901382259964,22,3726,0.005904455179817499,0.12174947368221961,1.4570670646564972e-05,0.7767103285793591
DBA2J,T cells,0.03663298828488192,13,3726,0.003488996242619431,0.1062888713987332,1.3585031333848762e-05,0.7241694227411628
DBA2J,DCs,0.0041839707431971735,31,3726,0.008319914117015567,0.36722749812305205,1.2783291024040444e-05,0.6814315148869803
DBA2J,cAMP qHSCs,0.003967024112068431,50,3726,0.013419216317767043,0.20494051025009227,1.090987581456956e-05,0.5815664518291765
DBA2J,Mast cells,0.0026963367011715116,47,3726,0.01261406333870102,0.19879467458577987,6.761357145170433e-06,0.36042376203910625
DBA2J,Cycling,0.007934048224136863,15,3726,0.004025764895330112,0.13910269523220217,4.443025330433594e-06,0.23684178635257608
DBA2J,Macrophages,0.010475423045930701,11,3726,0.0029522275899087494,0.12741095924225782,3.94029003925264e-06,0.21004276641222389
NODShiLtJ,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.19795634113717506,0.000700403480055534,55.31857973188228
NODShiLtJ,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.15928237674851006,8.266384754550687e-05,6.528874815167549
NODShiLtJ,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.15803794693915826,8.038404573817175e-05,6.348813748020998
NODShiLtJ,Neutrophiles,0.032913903179817766,45,3726,0.012077294685990338,0.1482285084336112,5.892244897430773e-05,4.653754991800677
NODShiLtJ,aHSCs,0.02597161098369801,45,3726,0.012077294685990338,0.15808486303202215,4.958597300819882e-05,3.9163506172463878
NODShiLtJ,"Cd207+, Trem2+ Mo-KC",0.022097563999256182,37,3726,0.009930220075147612,0.19445444908734164,4.266985411834742e-05,3.3701085080365836
NODShiLtJ,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.12494864441072752,4.115653031871849e-05,3.250584654067026
NODShiLtJ,Dendrites,0.045465815409409284,22,3726,0.005904455179817499,0.11367753996071489,3.0516834422193088e-05,2.4102506429792254
NODShiLtJ,Timd4+ resKC,0.03898840885142255,25,3726,0.0067096081588835215,0.09317305810125757,2.437378746101167e-05,1.9250665415354873
NODShiLtJ,"Ly6c2+, Ccr2+ Mo",0.03176718527242298,27,3726,0.007246376811594203,0.09728091294569416,2.239377380446607e-05,1.768683047665427
NODShiLtJ,Transitioning Mo,0.011498171449823343,39,3726,0.010466988727858293,0.18272793868202744,2.19915323504862e-05,1.7369136082250498
NODShiLtJ,"Trem2+, Spp1+ MdM",0.014380462406248063,32,3726,0.008588298443370907,0.1376887613220032,1.7005071870779856e-05,1.3430778842725588
NODShiLtJ,"Ly6c2-, Spn+ Mo",0.015682142193020516,16,3726,0.0042941492216854536,0.22388472082084004,1.5076723679042895e-05,1.1907749813986694
NODShiLtJ,MCs,0.007221223578999566,42,3726,0.011272141706924315,0.15835177960750185,1.2889621952894758e-05,1.0180354610152609
NODShiLtJ,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.042948204165313544,1.1902795919747099e-05,0.9400949365166571
NODShiLtJ,B cells,0.040476042893448215,14,3726,0.003757380568974772,0.07533432123935258,1.1457137157718675e-05,0.90489635389607
NODShiLtJ,"Cd207-, Trem2+ Mo-KC",0.02026901382259964,22,3726,0.005904455179817499,0.08187903399468613,9.799076752556837e-06,0.7739410555072762
NODShiLtJ,DCs,0.0041839707431971735,31,3726,0.008319914117015567,0.24609857164664434,8.566759510219371e-06,0.6766113854436533
NODShiLtJ,cAMP qHSCs,0.003967024112068431,50,3726,0.013419216317767043,0.15803794693915826,8.413048123046594e-06,0.6644711036358855
NODShiLtJ,T cells,0.03663298828488192,13,3726,0.003488996242619431,0.048580444500552974,6.2091811877134925e-06,0.49040744996726465
NODShiLtJ,Mast cells,0.0026963367011715116,47,3726,0.01261406333870102,0.14428869329592572,4.907512685722106e-06,0.3876003468298259
NODShiLtJ,Cycling,0.007934048224136863,15,3726,0.004025764895330112,0.10618393385785689,3.3915799189081943e-06,0.2678704339765671
NODShiLtJ,Macrophages,0.010475423045930701,11,3726,0.0029522275899087494,0.04676977952770997,1.4463943879480356e-06,0.11423770091363109
NZOHlLtJ,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.23228133912055346,0.0008218512088948836,49.43212497756267
NZOHlLtJ,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.169887752494631,8.641130267366125e-05,5.197405889299788
NZOHlLtJ,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.16377820852538422,8.499707963420528e-05,5.1123442026149934
NZOHlLtJ,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.28320965994033426,7.848958647480072e-05,4.720936108710902
NZOHlLtJ,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.20316567997885268,6.692024957299032e-05,4.02507181910691
