ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
BETALDHxm,"Betaine-aldehyde dehydrogenase, mitochondrial","Glycine, Serine, and Threonine Metabolism",HFD,SCD,0.0,0.0,0.0,,,
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, Extracellular",HFD,SCD,-0.2836104697894236,-0.6635309956784506,0.379920525889027,,,
BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport,"Transport, Mitochondrial",HFD,SCD,-0.2836104697894236,-0.6635309956784506,0.379920525889027,,,
BHMT,Betaine-homocysteine S-methyltransferase,"Glycine, Serine, and Threonine Metabolism",HFD,SCD,0.0,0.0,0.0,,,
BILDGLCURte,Bilirubin beta-diglucuronide transport MDR,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
BILDGLCURtr,Glucuronidated compound transport,"Transport, Endoplasmic Reticular",HFD,SCD,0.0,0.0,0.0,,,
CDSm,Phosphatidate cytidylyltransferase,Glycerophospholipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CEPTC,Choline phosphotransferase,Glycerophospholipid Metabolism,HFD,SCD,0.00459575670771557,0.004987275652346759,-0.00039151894463118966,,,
CEPTE,Ethanolamine phosphotransferase,Glycerophospholipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CERK,Ceramide kinase,Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CERT1gt,Ceramide transport protein,"Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CERT1rt,Ceramide transport protein,"Transport, Endoplasmic Reticular",HFD,SCD,0.0,0.0,0.0,,,
CERT2gt,Ceramide transport protein,"Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CERT2rt,Ceramide transport protein,"Transport, Endoplasmic Reticular",HFD,SCD,0.0,0.0,0.0,,,
CGLYt3_2,Cys-Gly transport in via proton symport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CGMPt,CGMP transport (ATP-dependent),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CH25H,Cholesterol 25-hydroxylase,Bile Acid Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
CHAT,Choline O-acetyltransferase,Glycerophospholipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CHATn,Choline O-acetyltransferase,Glycerophospholipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CHLP,Choline phosphate phosphatase,Glycerophospholipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CHLPCTD,Choline phosphate cytididyltransferase,Glycerophospholipid Metabolism,HFD,SCD,0.00459575670771557,0.004987275652346759,-0.00039151894463118966,,,
CHLtm,Choline transport via diffusion (cytosol to mitochondria),"Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
CHOLATEt2,Cholate transport via sodium cotransport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CHOLATEt3,ABC bile acid transporter,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CHOLD2m,"Choline dehydrogenase (FAD acceptor), mitochondrial","Glycine, Serine, and Threonine Metabolism",HFD,SCD,0.0,0.0,0.0,,,
CHOLK,Choline kinase,Glycerophospholipid Metabolism,HFD,SCD,0.00459575670771557,0.004987275652346759,-0.00039151894463118966,,,
CHOLPtg,Choline phosphate intracellular transport,"Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CHOLPtl,Choline phosphate intracellular transport,"Transport, Lysosomal",HFD,SCD,0.0,0.0,0.0,,,
CHOLt4,"Choline, sodium cotransport","Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CHOLtg,Choline intracellular transport,"Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CHOLtn,"Choline transport, nuclear through pores","Transport, Nuclear",HFD,SCD,0.0,0.0,0.0,,,
CHOLtr,Choline intracellular transport,"Transport, Endoplasmic Reticular",HFD,SCD,0.0,0.0,0.0,,,
CHOLtu,Choline uniport,"Transport, Extracellular",HFD,SCD,0.0033384270423971593,0.0036228323134971747,-0.00028440527110001543,,,
CHSTEROLSULT,Steroid sulfotransferase,Steroid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CHSTEROLt,Cholesterol efflux (ATP depedent),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CHSTEROLt1,Cholesterol intracellular transport,"Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",HFD,SCD,0.0007804115164045306,0.0008468958654928456,-6.648434908831501e-05,,,
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",HFD,SCD,-0.0007804115164045306,-0.0008468958654928456,6.648434908831501e-05,,,
CHSTEROLtg,"Cholesterol efflux (ATP depedent), golgi","Transport, Golgi Apparatus",HFD,SCD,0.0,0.0,0.0,,,
CHTNASE,CHTNASE,Aminosugar Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CHTNASEe,"Chitinase, extracellular",Aminosugar Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CITL,Citrate lyase,Citric Acid Cycle,HFD,SCD,0.0,0.0,0.0,,,
CITMCOAHm,"L-Citramalyl-CoA hydro-lyase, mitochondrial",C5-Branched dibasic acid metabolism,HFD,SCD,0.0,0.0,0.0,,,
CITMCOALm,L-Citramalyl-CoA pyruvate-lyase,C5-Branched dibasic acid metabolism,HFD,SCD,0.0,0.0,0.0,,,
CITRtm,"Citrulline transport via diffusion, mitochondria","Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
CITt4_2,Citrate transport via sodium symport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CITt4_4,Citrate transport via sodium symport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CITtam,Citrate transport  mitochondrial,"Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
CK,ATP Creatine kinase,Urea cycle/amino group metabolism,HFD,SCD,0.0,0.1,-0.1,,,
CKc,ATP Creatine kinase (c),Urea cycle/amino group metabolism,HFD,SCD,0.0,-0.1,0.1,,,
CLFORtex,Chloride transport via formate countertransport,"Transport, Extracellular",HFD,SCD,0.0,0.0004234479327464228,-0.0004234479327464228,,,
CLFORtex2,Chloride transport via formate countertransport (2:1),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CLHCO3tex2,Chloride transport via bicarbonate countertransport (2:1),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CLHCOtex,Chloride transport via bicarbonate countertransport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CLI2tex,Chloride transport via iodide countertransport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CLOHtex2,Chloride transport via hydroxide countertransport (2:1),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CLOXAtex2,Chloride transport via oxalate countertransport (2:1),"Transport, Extracellular",HFD,SCD,0.1,0.0,0.1,,,
CLPNDCOAtx,Fatty acid intracellular transport,"Transport, Peroxisomal",HFD,SCD,0.0,0.0,0.0,,,
CLPNDCPT1,Carnitine O-palmitoyltransferase,Carnitine shuttle,HFD,SCD,0.0,0.0,0.0,,,
